strategy,severity,climate,year,month,annual_energy_MWh,annual_cost_usd,annual_co2_tonne,mean_COP,mean_delta,mean_comfort_dev,occupied_discomfort_days
S0,0.05,hot_arid,1,1,1003.2326916346912,95307.10570529566,421.3577304865703,4.193155709295716,0.07545071229516849,0.6376263651793587,11
S0,0.05,hot_arid,1,2,1053.565257558905,100088.69946809596,442.49740817474003,4.105589540492914,0.0644879456457623,0.6274730804946048,12
S0,0.05,hot_arid,1,3,1012.9972246960249,96234.73634612236,425.45883437233044,4.037182379698516,0.06104873460781307,0.5792447040193464,6
S0,0.05,hot_arid,1,4,1010.6968105574213,96016.19700295501,424.4926604341169,4.089076540456415,0.05956568706138542,0.5823580233181157,7
S0,0.05,hot_arid,1,5,1055.1491797320425,100239.17207454404,443.1626554874578,4.029779386002122,0.08998473153382332,0.6173747731359159,10
S0,0.05,hot_arid,1,6,1035.4839728796146,98370.97742356338,434.9032686094381,4.093337842773847,0.069663838845648,0.6054507513898202,10
S0,0.05,hot_arid,1,7,1118.0762029556784,106217.23928078945,469.59200524138487,4.08224261265399,0.05897440081655905,0.5550741434907717,11
S0,0.05,hot_arid,1,8,1085.0902748803016,103083.57611362866,455.7379154497267,4.0789346177796,0.04968734525043467,0.3826636115404004,7
S0,0.05,hot_arid,1,9,1108.4965464837205,105307.17191595346,465.5685495231626,4.097960116650611,0.07907699869993116,0.5830867350688168,7
S0,0.05,hot_arid,1,10,1095.5090122131187,104073.35616024627,460.11378512950984,4.154258343916936,0.05720233687407938,0.6375339844708561,7
S0,0.05,hot_arid,1,11,1115.9746719967793,106017.59383969403,468.7093622386473,4.15043642894703,0.07286125954092193,0.5269965071491828,11
S0,0.05,hot_arid,1,12,1120.446626669866,106442.42953363726,470.5875832013437,4.126397049604761,0.08196920178674298,0.5728075731480402,12
S0,0.15,hot_arid,1,1,1037.8997278849793,98600.47414907302,435.91788571169127,3.9632960437204137,0.16081238643232063,0.6509554976576949,13
S0,0.15,hot_arid,1,2,1064.3040591404879,101108.88561834635,447.0077048390049,4.010903840780963,0.18834360042856232,0.8693011126027742,14
S0,0.15,hot_arid,1,3,1110.2877064763522,105477.33211525346,466.3208367200679,4.087469155299812,0.17342093408262618,0.7592915982199311,8
S0,0.15,hot_arid,1,4,1088.914162483518,103446.84543593421,457.3439482430776,4.006226647504584,0.18032853756562833,0.7506707795808617,9
S0,0.15,hot_arid,1,5,1101.1038813944172,104604.86873246964,462.4636301856552,3.9929110752356363,0.1647049216824373,0.8647003826077085,13
S0,0.15,hot_arid,1,6,1125.2839835679692,106901.97843895709,472.61927309854707,3.996990981030793,0.16047364434623193,0.7651526485959923,14
S0,0.15,hot_arid,1,7,1142.387713324215,108526.83276580041,479.80283959617026,3.9972151131058693,0.1694561632402206,0.6988568463222089,11
S0,0.15,hot_arid,1,8,1127.742862753382,107135.57196157129,473.65200235642044,4.039603669476303,0.1460472757780182,0.7337695181748238,12
S0,0.15,hot_arid,1,9,1122.1270312559484,106602.0679693151,471.29335312749834,3.998439753782751,0.14676943886924376,0.6867678286424973,12
S0,0.15,hot_arid,1,10,1203.260167928195,114309.71595317851,505.36927052984186,4.021410680398699,0.17406076285221805,0.7772755981605396,13
